tracking_id,global_tracking_id,lr_id,merchant_id,client_id,pickup_date,dh_in_scan_date,rto_request_date,delivered_date,zone,shipment_type,shipment_status,shipment_status_date,payment_type,docket_id,docket_status,seller_declared_length,seller_declared_breadth,seller_declared_height,creation_date,shipment_weight,source_pincode,destination_pincode,source_state,destination_state,value,amount_to_collect
BLAC0659190301,BLAC0659190301,BLAC0659190301,BLAC0659190301,BLA,2024-01-22 21:37:35,2024-01-29 15:32:52,2024-02-12 18:45:00,NULL,ROI,RTO,shipment_rto_completed,2024-03-01 22:14:32,COD,BLAC0659190301,ShipmentRtoCompleted,12,15,16,2024-01-20T12:47:06+05:30,4,641608,765016,Tamil Nadu,ODISHA,2681,2681
BLAC0660119501,BLAC0660119501,BLAC0660119501,BLAC0660119501,BLA,2024-01-11 23:24:31,2024-02-05 4:07:28,2024-01-30 23:11:36,NULL,ROI,RTO,shipment_rto_completed,2024-03-02 23:42:46,COD,BLAC0660119501,ShipmentRtoCompleted,12,15,16,2024-01-10T19:04:31+05:30,4,110041,758014,Delhi,ODISHA,3364,3364
BLAC0660329101,BLAC0660329101,BLAC0660329101,BLAC0660329101,BLA,2024-01-21 0:12:25,2024-02-05 2:36:58,2024-01-30 1:15:10,NULL,ROI,RTO,shipment_rto_completed,2024-03-02 23:43:02,COD,BLAC0660329101,ShipmentRtoCompleted,12,15,16,2024-01-20T06:13:21+05:30,4,110041,751001,Delhi,ODISHA,17640,17640
BLAC0661164101,BLAC0661164101,BLAC0661164101,BLAC0661164101,BLA,2024-01-20 0:34:11,2024-01-26 3:21:34,2024-01-31 1:14:24,NULL,ROI,RTO,shipment_rto_completed,2024-03-01 22:14:31,COD,BLAC0661164101,ShipmentRtoCompleted,12,15,16,2024-01-15T11:08:47+05:30,2,641608,221001,Tamil Nadu,UTTAR PRADESH,9645,9645
BLAC0661622601,BLAC0661622601,BLAC0661622601,BLAC0661622601,BLA,2024-01-20 0:34:12,2024-01-31 12:29:33,2024-02-11 1:14:58,NULL,JKNE,RTO,shipment_rto_completed,2024-03-01 22:14:32,COD,BLAC0661622601,ShipmentRtoCompleted,12,15,16,2024-01-17T07:28:33+05:30,4,641608,799260,Tamil Nadu,TRIPURA,8919,8919
BLAC0661785701,BLAC0661785701,BLAC0661785701,BLAC0661785701,BLA,2024-01-24 1:02:32,2024-01-27 3:03:28,2024-01-29 16:58:32,NULL,ROI,RTO,shipment_rto_completed,2024-03-02 23:42:46,COD,BLAC0661785701,ShipmentRtoCompleted,12,15,16,2024-01-21T13:12:55+05:30,4,110041,800006,Delhi,BIHAR,22855,22855
BLAC0662318401,BLAC0662318401,BLAC0662318401,BLAC0662318401,BLA,2024-01-20 23:25:16,2024-02-21 8:01:18,2024-02-12 10:57:19,NULL,ROI,RTO,shipment_rto_completed,2024-03-01 22:14:27,COD,BLAC0662318401,ShipmentRtoCompleted,12,15,16,2024-01-20T08:44:03+05:30,8,641608,176095,Tamil Nadu,HIMACHAL PRADESH,2551,2551
BLAC0662594701,BLAC0662594701,BLAC0662594701,BLAC0662594701,BLA,2024-01-30 21:25:39,2024-02-22 7:44:19,2024-02-12 20:39:23,NULL,ROI,RTO,shipment_rto_completed,2024-03-01 22:14:32,COD,BLAC0662594701,ShipmentRtoCompleted,12,15,16,2024-01-22T14:00:32+05:30,8,641608,847201,Tamil Nadu,BIHAR,2867,2867
BLAC0662836001,BLAC0662836001,BLAC0662836001,BLAC0662836001,BLA,2024-01-24 18:35:34,2024-01-31 6:04:51,2024-02-23 16:59:05,NULL,ROI,RTO,shipment_rto_completed,2024-03-02 18:08:31,COD,BLAC0662836001,ShipmentRtoCompleted,12,15,16,2024-01-24T09:39:48+05:30,8,110031,413005,Delhi,MAHARASHTRA,10205,10205
BLAC0663179601,BLAC0663179601,BLAC0663179601,BLAC0663179601,BLA,2024-01-24 18:35:34,2024-01-29 8:09:58,2024-02-20 11:07:12,NULL,ROI,RTO,shipment_rto_completed,2024-03-02 18:08:30,COD,BLAC0663179601,ShipmentRtoCompleted,12,15,16,2024-01-23T18:53:27+05:30,5,110031,754208,Delhi,ODISHA,3505,3505
BLAC0663274501,BLAC0663274501,BLAC0663274501,BLAC0663274501,BLA,2024-01-24 19:58:15,2024-02-25 0:53:32,2024-02-13 1:15:59,NULL,JKNE,RTO,shipment_rto_completed,2024-03-01 18:27:26,COD,BLAC0663274501,ShipmentRtoCompleted,12,15,16,2024-01-23T19:02:16+05:30,2,452001,799260,MADHYA PRADESH,TRIPURA,2658,2658
